split,IC_target,IC_pnl_res,spearman_price,n
train,0.23382587391498375,-0.002018266718981232,0.5844405481102722,333237
val,0.26017499209578093,0.04540148383033158,0.5943161696428736,522324
test,0.18374250297624642,-0.047225078613697014,0.5269150348599604,286454
