split,scheme,IC_target,IC_pnl_res,spearman_price
train,equal,0.1424636069570065,0.004182435623177636,0.3603490785988417
train,ic_weighted,0.17918954382663102,0.011265244452720063,0.4251300911958826
train,shrinkage_markowitz,0.19310877429383286,0.007327743377165896,0.44143603672776194
val,equal,0.08872781683136866,-0.02072080190205838,0.31922530617547384
val,ic_weighted,0.15300819772659074,0.0077599254313517425,0.41933196882598944
val,shrinkage_markowitz,0.15583345432252257,0.016240321899202166,0.3883809627532859
test,equal,0.07295341037423124,-0.038700291266804535,0.29275002292673424
test,ic_weighted,0.10732125276018119,-0.02841185287516429,0.34322048255024623
test,shrinkage_markowitz,0.11622821253721881,0.0013748669447983094,0.2644638976225464
