signal,IC_train,IC_val,IC_test
sig_ccw_n_cond,0.01639657531012235,-0.008184859245071655,-0.015910168307094675
sig_ccw_n_co,0.023211878237672134,-0.006707771898602467,-0.013682775332603186
sig_ccw_first,-0.010532251790359692,-0.009545331225589091,-0.027293802035165123
sig_ccw_recent_24h_co,0.00668675695409647,-0.011041928712239456,-0.03291916274257056
sig_fsf_sell_6h_both_sides,0.0011154568679447743,-0.029112297640136064,-0.020067673623712576
sig_fsf_sell_6h_overseller,0.021487116736754873,-0.023442138455557544,0.015261935006724153
sig_fsf_sell_6h_retail,0.02024514177157724,-0.02868129489398178,0.043872624891058115
sig_uwl_opp_gambler,0.06607889915526036,0.06024811336231139,0.05333888436959003
sig_val_opp_gambler,0.08393389793689365,0.10418355187047805,-0.020114412829881124
sig_uwl_opp_retail,0.13897003951731854,0.12439476695749284,0.0949972706623904
sig_val_opp_retail,0.06219882761142445,0.05383708358057637,0.05701012350012525
sig_val_opp_flipper,-0.006708982812060182,-0.03358137712566392,-0.03006109172198072
sig_val_opp_both_sides,-0.01602779263889718,-0.02096552241807569,-0.013980493702007388
sig_val_opp_overseller,-0.052200235917669056,-0.013058517599485824,-0.0008280381112628472
sig_uwl_opp_whale,0.1393179113933733,0.1372390832261444,0.049373998362834286
