rule,IC_train,IC_val,IC_test,val_fire_rate,test_fire_rate,val_fires,test_fires,same_sign_val_test
price_lt_0p5_lead_gt_24h,-0.026359192097576794,-0.036659512193863215,0.11284228659687079,0.43253960444750567,0.36712334234710675,87918,36792,False
price_lt_0p5_lead_gt_72h,-0.006242618420658731,-0.024612015752260717,0.08927204439257216,0.29791892157827415,0.25110510192881447,60555,25165,False
price_lt_0p1,-0.009221045315872083,0.11659367649250399,0.18442988329019272,0.24350585457050083,0.24968817665665505,49495,25023,True
price_gt_0p9,-0.02312593011316755,0.03298552701177831,0.008945362275546861,0.17200629735314377,0.16136982747438058,34962,16172,True
price_mid_lead_gt_24h,0.046457595597126,-0.024965577092946608,-0.06691149843587502,0.18372035816196006,0.1683347136713332,37343,16870,True
recurring_market,-0.007623520188955519,-0.04797923204857604,0.021526114037824375,0.9398996359342714,0.9441412135665606,191044,94619,False
