signal,IC_train,IC_val,IC_test
sig_ccw_n_cond,0.02041753621274606,-0.006326244456927334,0.02249542125074146
sig_ccw_n_co,0.024704925466958967,-0.007994349956115603,0.026655735704145925
sig_ccw_first,0.005148540826150076,-0.00935128480956091,-0.00792018785997001
sig_ccw_recent_24h_co,0.026461531780304443,-0.011370069243903418,0.007247755726874616
sig_fsf_sell_6h_both_sides,0.05408733629939648,-0.09561035614121267,-0.012547639891062057
sig_fsf_sell_6h_overseller,0.1295367514292674,-0.08221880210439476,-0.0036470937328015244
sig_fsf_sell_6h_retail,0.015820635017123986,-0.14415428388857848,-0.05435559662185913
sig_uwl_opp_gambler,0.20534749360203963,0.06426634563080086,0.19323744221173564
sig_val_opp_gambler,0.022657812471292327,0.07956613886856323,-0.00747411554552483
sig_uwl_opp_retail,0.31306338149472107,0.29972257464112284,0.18301064873757547
sig_val_opp_retail,-0.20968054745633333,0.013033782362615702,-0.0699071301909936
sig_val_opp_flipper,-0.11832622992148757,-0.016862508324328992,-0.06453962397402967
sig_val_opp_both_sides,-0.16126437689307466,-0.0616483691260281,-0.07056522643291344
sig_val_opp_overseller,-0.24406116627503052,-0.08699412269759149,-0.07836361254054677
sig_uwl_opp_whale,0.25510452811141415,0.194278975085992,0.29483497728108854
