split,IC_target_combo,IC_pnl_res_combo,IC_roi_res_combo,IC_target_rule,IC_pnl_res_rule,IC_roi_res_rule,spearman_price_combo,spearman_price_rule,n
train,-0.34618213755522553,-0.003685997431898784,0.02073321035080639,-0.3491708836503025,-0.0046535949217376025,0.02077264197248033,-0.7184329840529898,-0.7229849685283677,3048091
val,-0.26825595796046225,0.07969052889539173,0.09625969853340074,-0.26852498966507626,0.07986793068462056,0.09657220063671658,-0.7413963777585534,-0.7423514280926838,2395484
test,-0.24779778195542285,0.1026299684988673,0.16825542005676267,-0.2483844660749598,0.1023234348887119,0.16823960340653965,-0.736889329054879,-0.7374518006692797,1165992
