config,alpha_col,val_scale,val_sharpe,val_pnl,val_trades,val_mean_used,val_max_dd,test_sharpe,test_pnl,test_trades,test_mean_used,test_max_dd
static_copy_default,alpha_equal,1.6,0.695,17629.4,11734,3307.41,9423.3,-1.33,-11874.87,5659,3471.2,11878.8
price_lt_0p1_all,alpha_equal,0.8,0.481,132848.65,142835,3342.67,22586.77,-0.74,-14925.18,75027,4757.05,15270.35
