split,decile,n,mean_roi_res,mean_copyable_roi,roi_w,pnl
train,0,4634,-0.30258848645690284,0.24169157280023434,0.0581889200123234,2342.3008018913656
train,1,4634,-0.11530353899499773,1.5084280121220257,0.20794032163249204,8942.810012867087
train,2,4641,-0.12779296797862444,1.5123867352367002,0.13607697853487505,5579.18219039667
train,3,4626,-0.13757127959570223,0.43436395474508027,0.07654617729081174,2530.242206006191
train,4,4634,-0.05883872210467782,0.7668801749326911,0.04475127764635381,1234.272257702059
train,5,4635,-0.024062587369083233,0.2876654420646029,0.09537327006283955,2379.868036994664
train,6,4632,0.059996191508489644,0.3120327426228174,0.12524316994233536,2665.6117456740853
train,7,4635,0.07306195333482622,0.5738571772702654,0.14089890507363664,2804.2958426366567
train,8,4633,0.20408677891313304,0.3566506661471672,0.03693041220407649,594.6719728334174
train,9,4634,0.4290275617075116,0.1812032843560869,0.06525198240097628,489.2357583358912
val,0,3006,-0.35419342247952446,-0.15743509808051773,0.0025431760644659684,41.5103086052261
val,1,3181,-0.2865284896476211,-0.13883766769796185,-0.05866769466339107,-1079.740198251496
val,2,3571,-0.16901336924585864,-0.05937248277077241,0.137752211350931,2475.9336196384643
val,3,4468,-0.14161877472275616,-0.07441772436632495,0.05457295823828607,1453.8548383621019
val,4,5136,-0.09260657853598189,0.25648881745222635,0.013765506144643115,368.1014910324517
val,5,5741,-0.051883336948212344,-0.06104553843574082,-0.006865832254195615,-201.03296947014525
val,6,5990,-0.016197348450938072,-0.02683003834047474,-0.013881091497174744,-366.3021455480008
val,7,6924,0.055859456628313535,-0.06758792433441689,-0.036532196348848946,-915.7824291178234
val,8,7145,0.15437567972873026,0.4391576786122706,0.014319016103050985,285.02656446484525
val,9,7055,0.33914237532896574,0.0359921503409902,0.0008315576723040523,8.558171680761152
test,0,1536,-0.28309576615708676,0.03480623632409153,0.012581625153407883,89.74129572029918
test,1,2537,-0.20388876096596373,-0.11623541345634707,0.16645468549396925,2637.6952025450337
test,2,2980,-0.14005062695280274,0.10696161547500803,0.09202392204695131,1483.2431332480523
test,3,3639,-0.12310671033163029,-0.041839749258436115,0.06787456559438461,1673.3231834133114
test,4,4745,-0.08687270812442557,0.21211309953252105,0.07500510106961744,1676.5214575308194
test,5,5245,-0.049976071540332664,0.195623448893488,0.0760410415337414,1859.064185738916
test,6,5507,-0.04020904031275665,0.0030379398575844656,0.02743947409243575,636.8323055143637
test,7,5641,0.06080009784758272,-0.041785626164183125,-0.020746751701857538,-668.2451907248653
test,8,5503,0.13549001921215517,0.4654903090432953,-0.0015161020346493056,-41.45944032236068
test,9,4914,0.28396435848116014,0.060698354339386175,0.021888415050075972,258.5999750414792
