signal,presence_train,boot_mean_ic,boot_ci_lo,boot_ci_hi,significant,IC_train,IC_val,IC_test,|IC_train|,spearman_price,wb_ic_pnl,wb_ic_roi
sig_exp_wt_minmax,0.9986296096697206,0.2427257288164705,0.23766909388563612,0.2473757720110204,True,0.32792328055022485,0.15042290733916558,0.06901778731648892,0.32792328055022485,0.42972596331002855,0.07593880559597503,-0.05778021383010171
sig_exp_usdc,1.0,0.24819016507698866,0.24334345303826949,0.25355674963458424,True,0.3238143342697904,0.15682105110649494,0.06402428881627398,0.3238143342697904,0.415429976013747,0.08957256419669506,-0.07860084273042603
sig_exp_log,1.0,0.24819012918042319,0.243343373329471,0.25355692335165403,True,0.32381397452124333,0.15682123387593028,0.06402435478585791,0.32381397452124333,0.4154303917575383,0.08957212570273293,-0.0786013310054181
sig_exp_wt_rank,0.9987219955346832,0.22750248375007956,0.22240913979674748,0.2320164169770597,True,0.3132578154153318,0.13850262015214312,0.06793425609742998,0.3132578154153318,0.42767160436161566,0.06029798508653926,-0.07015889961593494
sig_exp_top_0.2,0.20061590576641775,0.24597360934714788,0.24032444116179635,0.2510578198336441,True,0.284029161130258,0.20252033686308915,0.10874295236514948,0.284029161130258,0.3458144198591194,0.11295491845917816,-0.012851290559391017
sig_exp_thr_0.8,0.3104934944953422,0.23509564974588135,0.2297781238450732,0.2405475855274142,True,0.25549977164765475,0.19925777020170612,0.13171937722016802,0.25549977164765475,0.33340057616033464,0.11995224553656765,0.019019012117760227
sig_exp_top_0.5,0.5003772422819308,0.1912121455002158,0.18552701440557204,0.1967540830879618,True,0.2552450096352938,0.12207115528265187,0.09614778254718896,0.2552450096352938,0.3699076148814468,0.049805402833435895,-0.04964188849761983
sig_exp_marg,1.0,0.18472482913826355,0.1795684575824977,0.18958194950523993,True,0.24415990165244264,0.114335450146125,0.03897240996138445,0.24415990165244264,0.4495527266800535,0.002845079525732396,-0.10774791415883696
sig_exp_thr_0.5,0.17040572792362768,0.21306712972255773,0.2073137907405174,0.21848977644312143,True,0.23705787104936826,0.18330111513897682,0.11621319059636954,0.23705787104936826,0.31850511839336465,0.09828481443465958,-0.011295879061890904
sig_exp_marg_wt,0.9987681884671645,0.15261658198972256,0.14733727574095892,0.15736614354067516,True,0.22991035742058924,0.08169167032886251,0.014172882671103466,0.22991035742058924,0.41872254575982587,-0.019534381212776612,-0.07981663932839103
sig_exp_thr_0.2,0.07307721918546463,0.16521861949759317,0.15931800666626456,0.17027301555513344,True,0.19311166015329279,0.1386674608562269,0.10185832181204724,0.19311166015329279,0.26733563792715836,0.06642578930237406,-0.017549579668067448
sig_exp_pos,1.0,0.11736096593015642,0.11203280814604476,0.12263438965228406,True,0.19240447646063133,0.02527223738303103,-0.03196664029541129,0.19240447646063133,0.04460686026449746,0.1003115753268071,-0.05505794077767899
sig_exp_top_0.8,0.7998922164908769,0.11510092292526258,0.11046493447643918,0.11967808051248648,True,0.17251158302318745,0.05505948811058825,0.014375725228303665,0.17251158302318745,0.2791831892451541,0.009725917359105074,-0.05328697471003266
