n,median_exposure,mean_roi_res,med_roi_res,mean_copyable_roi,sd_copyable_roi,sharpe_copyable,pnl,split,axis,bin
4479,0.32997918800000015,-0.6442753215453337,-0.8731263348608787,0.8191533965175578,11.472247108736358,0.07140304673996738,1351.1515143004408,train,marg,0-20
4601,1.0286,-0.6223828332712945,-0.8728220344598003,1.030037602852665,12.833925979506585,0.08025896397543864,2280.094331991824,train,marg,20-40
4783,2.0497841178695335,-0.5505799793183784,-0.8723488115114653,1.2084279387200436,12.242988021020167,0.09870367729228158,4002.8611482662345,train,marg,40-60
5245,3.9951449200000004,-0.5041245868393149,-0.8718725893196662,0.6672512407220613,5.998163083479246,0.11124259734782353,4597.238960392853,train,marg,60-80
5374,11.567801311904761,-0.4078196480303695,-0.22183788311978006,0.4310859336089553,4.549817438334985,0.09474796284721088,9955.981047012303,train,marg,80-100
2718,17.44219269,-0.3590508342887782,-0.19156291787680357,0.3543974831333112,3.57065338981963,0.09925283819027124,7262.898232541569,train,marg,90-100
2134,1.4349341740000003,-0.7289673292833849,-0.8690204173292977,-0.160528443208604,3.779237592965069,-0.042476409397340514,251.20981707162332,val,marg,0-20
1802,2.53455,-0.7168882080795591,-0.8687393371854217,-0.16903375485618116,4.165958447549494,-0.040574997802873054,5.5842608625661185,val,marg,20-40
1668,3.6935779951980807,-0.6673292276644063,-0.8682994133016249,0.07704102918902539,4.608943351241314,0.016715551335269967,63.30410736626959,val,marg,40-60
1815,6.9992399999999995,-0.5756574628011532,-0.8677926917878188,0.054345033972902364,2.278869023724815,0.023847370518940716,402.2189264896389,val,marg,60-80
2696,17.17935,-0.5207279535815281,-0.8669882597104774,-0.04886008367388858,1.6503217731590407,-0.02960639826035911,-2886.319400706546,val,marg,80-100
1510,19.999999000000003,-0.49164625060941336,-0.8663191856862045,-0.03951618460515071,1.5074503386894276,-0.026213921341850608,-2700.220194627829,val,marg,90-100
1244,1.2416880000000001,-0.7737508248376561,-0.9226610421094514,0.15759463989393407,3.9604598656853014,0.03979200528185748,151.27803761005504,test,marg,0-20
1163,2.497611219560897,-0.8005143903631693,-0.9223269269652312,-0.05378416016148069,3.5297833984205855,-0.01523724095522309,110.93492061220941,test,marg,20-40
1154,3.99994616599993,-0.7435828854477846,-0.9220339215046691,0.17287787107730437,3.469859248036276,0.04982273306190805,216.0631604396064,test,marg,40-60
1159,6.804,-0.710588031697875,-0.9216992859310663,-0.1329443456102763,2.3719475761770403,-0.05604860197818867,-218.40296288178627,test,marg,60-80
1644,18.766,-0.5936627944142492,-0.9208823486735223,-0.04676842906006536,1.8766471416836699,-0.024921269439126512,1241.43578938345,test,marg,80-100
998,22.3577,-0.558231710419065,-0.33772684203007614,-0.054714708717297944,1.5893088094623333,-0.03442673216906666,1031.2287159389548,test,marg,90-100
