wallet,n,exposure_pctile,exposure,cum_cpnl_frac
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.4343891402714932,17.1,0.6378200812041516
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.4434389140271493,16.80714165,0.6250646758885781
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.45248868778280543,16.599999999999998,0.6313583889456186
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.46153846153846156,16.1515159,0.7289415503254194
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.47058823529411764,15.682346254901962,0.7481373732983012
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.4796380090497738,15.4154,0.7481373732983012
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.48868778280542985,15.015,0.7716462426584235
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.497737556561086,14.862499999999999,0.7716462426584227
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.5067873303167421,14.6146,0.7683974605419623
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.5158371040723982,14.399999999999999,0.7518672669494497
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.5248868778280543,14.153228465999998,0.8830648616594311
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.5339366515837104,13.642615350000002,0.8830648616594311
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.5429864253393665,13.193400000000002,0.8584885045211518
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.5520361990950227,12.6126,0.8243845394479158
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.5610859728506787,12.285,0.8373421821260253
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.5701357466063348,12.143162409999999,0.8337671889732957
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.579185520361991,11.741964591999999,0.8264235364909747
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.5882352941176471,11.399999999999999,0.8053210868291327
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.5972850678733032,10.99672805,0.8053210868291403
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.6063348416289592,10.8,0.823832007585142
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.6153846153846154,10.4,0.8590027570215452
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.6244343891402715,10.222220527999976,0.8301920087492044
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.6334841628959276,10.0209228,0.7795840168669056
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.6425339366515838,9.8,0.8429120962325862
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.6515837104072398,9.438,0.8251416123068245
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.6606334841628959,9.241190160080713,0.8229394534294451
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.669683257918552,8.971729139999999,0.8234681253262361
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.6787330316742082,8.305768679999998,0.8162307834064001
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.6877828054298643,8.118411000630003,0.8300406268193039
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.6968325791855203,7.941319919999995,1.007739392791908
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.7058823529411765,7.813129740000004,1.0118186504334683
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.7149321266968326,7.6460399999999975,1.0081813655393683
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.7239819004524887,7.396300000000001,1.014060470993316
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.7330316742081447,7.1755403236616635,1.0259281888062184
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.7420814479638009,6.7932,1.0259281888062177
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.751131221719457,6.394084479999998,1.0405509165727103
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.7601809954751131,5.985079569728135,1.0513737928679052
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.7692307692307693,5.666665999999999,1.0519673455419463
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.7782805429864253,5.295042750000003,1.027171888055096
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.7873303167420814,5.020875300000001,1.018878995556407
0x0710ac955e0127fda1a4dab675f0f6dcd7b842a2,664,0.7963800904977375,4.7976,1.003407055236036
