design,cost_bps,pnl,roi_w,sharpe_daily,ci_lo,ci_hi
bad_ua@drop0.02,0.0,9629.9,0.0476,0.82,-6.294,7.788
bad_ua@drop0.02,10.0,9427.8,0.0466,0.82,-6.294,7.788
bad_ua@drop0.02,30.0,9023.6,0.0446,0.82,-6.294,7.788
copy_all,10.0,9400.19,0.0458,0.814,-6.294,7.788
