n,median_exposure,mean_roi_res,med_roi_res,mean_copyable_roi,sd_copyable_roi,sharpe_copyable,pnl,split,axis,bin
7009,35.07383704999995,-0.7002672753262307,-1.149747129448336,0.6151788605941265,6.546550373314271,0.09396992698655196,4989.19977064311,train,marg,0-20
7499,51.21767699999999,-0.6830281244478705,-1.1435086543128565,0.370109391892438,3.698022765045363,0.10008304853902054,19174.928465470646,train,marg,20-40
7955,95.00589760000001,-0.6149981022083291,-0.5829770285607423,0.3499837121656261,2.5499104758613798,0.13725333319688365,58633.109297901654,train,marg,40-60
8301,197.0272,-0.5734179434533204,-0.47900323886425733,0.3260255649375996,2.188817844895524,0.1489505239999363,110704.1175258809,train,marg,60-80
8661,675.4119983300004,-0.5223704066567827,-0.4866980775595547,0.2467452500125502,1.0327422201162284,0.23892240019467845,454233.15987096005,train,marg,80-100
4504,1056.9805874919941,-0.5330673647471345,-0.5227452195273905,0.2090796722760335,0.8733748140510996,0.2393928344535484,409613.0556446752,train,marg,90-100
11740,9.740970170000004,-0.5492901475985765,-0.9097318417235868,0.05705759426580695,2.5879168498129808,0.022047692247117712,942.6096351887738,val,marg,0-20
7990,23.3886,-0.5375458729272355,-0.9099354957928146,0.041642601820349276,2.7528053693390833,0.01512733238759527,1447.8102381988938,val,marg,20-40
8364,37.60411719420032,-0.5064893858947296,-0.9097602336128496,0.07981635280089144,2.4330218464230144,0.03280544024634881,7725.845953457219,val,marg,40-60
9176,54.59994442,-0.48159771035278287,-0.9045648780099557,0.035621157941003186,2.1177023964341104,0.01682066280936538,2448.6473447647368,val,marg,60-80
11750,179.38485833000001,-0.4406011605575513,-0.33454397588087026,-0.027302971452874754,1.1570027799875806,-0.023598017157026908,33010.26594340939,val,marg,80-100
6691,219.58792118999958,-0.4395428235474549,-0.33454397588087026,-0.04622864967337424,1.0673535447941989,-0.043311468724533814,4838.679454530466,val,marg,90-100
15081,9.8,-0.4217026449423653,-0.7925801802887292,-0.019490087047440055,1.7717650073927218,-0.01100037926368187,842.2979111265984,test,marg,0-20
6816,19.961651110000002,-0.38287758993148735,-0.7870549846563403,0.14665909910543212,3.1316735091071224,0.04683090324675843,11820.187189205204,test,marg,20-40
7643,23.0571,-0.4006196155223989,-0.7939564983633791,0.09068661817961225,2.7830011734051943,0.03258590727385534,25234.696161334316,test,marg,40-60
7915,39.535599999999995,-0.372516691189656,-0.7919201119214856,0.12819251973734366,2.5660176569219093,0.0499577699286443,28117.73360984005,test,marg,60-80
10897,131.8801319999998,-0.3183522202272939,-0.21832323660877703,0.09250313210960306,1.817198807993529,0.05090424432522105,103813.4486827305,test,marg,80-100
6505,170.20293558600002,-0.2996945771936198,-0.18222344459273596,0.07255305417052117,1.3157505170335977,0.055141953760424425,70833.81809573801,test,marg,90-100
