wallet,frac,threshold
0x607c221d1fca1747501fe0b605991ed540fd8e7e,0.2,3.85343154
0x607c221d1fca1747501fe0b605991ed540fd8e7e,0.5,3.000356250000001
0x607c221d1fca1747501fe0b605991ed540fd8e7e,0.8,0.4007632000000001
0x607c221d1fca1747501fe0b605991ed540fd8e7e,1.0,0.09735784999999997
0x6c9f38d67d77721353d8aeac0a7e8bc207638e7d,0.2,24.47389248
0x6c9f38d67d77721353d8aeac0a7e8bc207638e7d,0.5,11.499995864999464
0x6c9f38d67d77721353d8aeac0a7e8bc207638e7d,0.8,11.052631400000001
0x6c9f38d67d77721353d8aeac0a7e8bc207638e7d,1.0,4.6424
0x702e2cd7a34372405f24534e25012a6da4284357,0.2,40.12464958786943
0x702e2cd7a34372405f24534e25012a6da4284357,0.5,22.315279563305438
0x702e2cd7a34372405f24534e25012a6da4284357,0.8,11.200379115208076
0x702e2cd7a34372405f24534e25012a6da4284357,1.0,0.945733
0x710dc593d792853f2c103100e7f081ffdaaa02aa,0.2,114.88499999999999
0x710dc593d792853f2c103100e7f081ffdaaa02aa,0.5,40.919998019999994
0x710dc593d792853f2c103100e7f081ffdaaa02aa,0.8,24.007906399999996
0x710dc593d792853f2c103100e7f081ffdaaa02aa,1.0,1.5918000000000003
0x72476fa4e440ef335fcabd3b14c9af328860ecb6,0.2,15.027050466
0x72476fa4e440ef335fcabd3b14c9af328860ecb6,0.5,12.79951542
0x72476fa4e440ef335fcabd3b14c9af328860ecb6,0.8,8.339468006809147
0x72476fa4e440ef335fcabd3b14c9af328860ecb6,1.0,2.6781999999999995
0x726e9d517a96053a87d3beafae95a3678539aafb,0.2,162.95249
0x726e9d517a96053a87d3beafae95a3678539aafb,0.5,5.2942
0x726e9d517a96053a87d3beafae95a3678539aafb,0.8,5.2942
0x726e9d517a96053a87d3beafae95a3678539aafb,1.0,5.2942
0x73e780f4b97209e80f6b9e04e460591adf418b59,0.2,13.0
0x73e780f4b97209e80f6b9e04e460591adf418b59,0.5,4.630639200000001
0x73e780f4b97209e80f6b9e04e460591adf418b59,0.8,2.5668571428571436
0x73e780f4b97209e80f6b9e04e460591adf418b59,1.0,0.16000000000000014
0x77357b4fcc685e5ba9e67b7ba00f8ae059c34740,0.2,2328.0973934416247
0x77357b4fcc685e5ba9e67b7ba00f8ae059c34740,0.5,1364.928252352851
0x77357b4fcc685e5ba9e67b7ba00f8ae059c34740,0.8,926.6044247697382
0x77357b4fcc685e5ba9e67b7ba00f8ae059c34740,1.0,49.749998000000005
0x77bdeb3f229bf6d826d20dbd5f0c7972c32ae48f,0.2,1.129088125
0x77bdeb3f229bf6d826d20dbd5f0c7972c32ae48f,0.5,0.9010642900000003
0x77bdeb3f229bf6d826d20dbd5f0c7972c32ae48f,0.8,0.6276681599999991
0x77bdeb3f229bf6d826d20dbd5f0c7972c32ae48f,1.0,0.47752904
0x7b2007f18b374aa05c018f65ced5084daf6aeb02,0.2,16.3584
0x7b2007f18b374aa05c018f65ced5084daf6aeb02,0.5,2.0000000000000018
0x7b2007f18b374aa05c018f65ced5084daf6aeb02,0.8,1.0000000000000009
0x7b2007f18b374aa05c018f65ced5084daf6aeb02,1.0,0.7945450000000001
0x8383a695e82d69bff00d4032c7037b3eba01cb59,0.2,26.533153798414002
0x8383a695e82d69bff00d4032c7037b3eba01cb59,0.5,16.319181
0x8383a695e82d69bff00d4032c7037b3eba01cb59,0.8,3.79974
0x8383a695e82d69bff00d4032c7037b3eba01cb59,1.0,0.0
0x85d22a973e817f87afe0a7fd346a39823cce7479,0.2,98.66479999999999
0x85d22a973e817f87afe0a7fd346a39823cce7479,0.5,62.20087726070861
0x85d22a973e817f87afe0a7fd346a39823cce7479,0.8,6.62406
0x85d22a973e817f87afe0a7fd346a39823cce7479,1.0,0.9113
0x85dfe68799c81169482aad52aabd3d899404fb48,0.2,153.0
0x85dfe68799c81169482aad52aabd3d899404fb48,0.5,60.973800479999994
0x85dfe68799c81169482aad52aabd3d899404fb48,0.8,7.280065030720603
0x85dfe68799c81169482aad52aabd3d899404fb48,1.0,3.8086800000000003
0x86995e70ebadcc054e573783f62f45786325f6be,0.2,218.50500000000002
0x86995e70ebadcc054e573783f62f45786325f6be,0.5,22.3839
0x86995e70ebadcc054e573783f62f45786325f6be,0.8,22.3839
0x86995e70ebadcc054e573783f62f45786325f6be,1.0,11.813900000000002
0x87046cc15301a1eb23a62d5a53d44301c4963b94,0.2,1.48032
0x87046cc15301a1eb23a62d5a53d44301c4963b94,0.5,0.523
0x87046cc15301a1eb23a62d5a53d44301c4963b94,0.8,0.1818
0x87046cc15301a1eb23a62d5a53d44301c4963b94,1.0,0.08866
0x8a19890daccd81dc8eab48ea8a311d2a801e073d,0.2,199.999994
0x8a19890daccd81dc8eab48ea8a311d2a801e073d,0.5,49.584425798219954
0x8a19890daccd81dc8eab48ea8a311d2a801e073d,0.8,23.197
0x8a19890daccd81dc8eab48ea8a311d2a801e073d,1.0,6.932339642076743
0x8cc1262cf53b83047926e09af8e5ab3bf537b9f8,0.2,215.73317017383343
0x8cc1262cf53b83047926e09af8e5ab3bf537b9f8,0.5,176.4
0x8cc1262cf53b83047926e09af8e5ab3bf537b9f8,0.8,145.23205920592056
