col,fold,fraction,sel_pnl,sel_roi_w,sel_trades
sig_wal_trade_count,A,0.05,2289.5392642228944,0.0576539660754068,1870
sig_wal_trade_count,A,0.1,6514.980218824303,0.11767265823536988,4328
sig_wal_trade_count,A,0.15000000000000002,7001.297814655187,0.11941635971749456,5792
sig_wal_trade_count,A,0.2,9200.07108478429,0.15192002001446914,7030
sig_wal_trade_count,A,0.25,11242.813981408235,0.08911937517800474,8050
sig_wal_trade_count,A,0.30000000000000004,13929.739843132542,0.09874575262421798,9996
sig_wal_trade_count,A,0.35000000000000003,14534.770521524073,0.10230609970045268,11202
sig_wal_trade_count,A,0.4,15033.664646185473,0.09364553972984228,12815
sig_wal_trade_count,A,0.45,16654.896710709236,0.09879409424649092,14350
sig_wal_trade_count,A,0.5,18706.933738228865,0.10471249261167435,15528
sig_wal_trade_count,B,0.05,2196.7213257742137,0.03700077792143797,3622
sig_wal_trade_count,B,0.1,6904.093659420993,0.08496204590851558,8581
sig_wal_trade_count,B,0.15000000000000002,9331.529743512023,0.1097992722165778,10374
sig_wal_trade_count,B,0.2,13520.420643869968,0.07063415412613842,13288
sig_wal_trade_count,B,0.25,14273.997009036126,0.06935873448741363,17422
sig_wal_trade_count,B,0.30000000000000004,14666.130854418354,0.06200316378610076,20164
sig_wal_trade_count,B,0.35000000000000003,17264.99945768554,0.06516350364263619,23609
sig_wal_trade_count,B,0.4,20361.341570131957,0.07196346009617055,25599
sig_wal_trade_count,B,0.45,21350.411869232983,0.0711322698978949,28970
sig_wal_trade_count,B,0.5,22566.3335374268,0.07077509915217842,32254
sig_wal_copyable_pnl,A,0.05,4225.4409546014385,0.269935074194557,2458
sig_wal_copyable_pnl,A,0.1,6514.980218824303,0.11767265823536988,4328
sig_wal_copyable_pnl,A,0.15000000000000002,10094.076604564456,0.15342930113213435,6186
sig_wal_copyable_pnl,A,0.2,10710.085574877638,0.15019254132091633,6760
sig_wal_copyable_pnl,A,0.25,14181.940873661302,0.10136536397897729,8383
sig_wal_copyable_pnl,A,0.30000000000000004,16596.20032968907,0.10316923225252331,10342
sig_wal_copyable_pnl,A,0.35000000000000003,16433.85525267912,0.08942165236456602,12515
sig_wal_copyable_pnl,A,0.4,16758.023471039378,0.08867955183756389,13327
sig_wal_copyable_pnl,A,0.45,17962.405124603192,0.09258253230826409,14242
sig_wal_copyable_pnl,A,0.5,20472.28939425271,0.0974046399888449,16029
sig_wal_copyable_pnl,B,0.05,6422.162280375642,0.08560241480048737,6080
sig_wal_copyable_pnl,B,0.1,10229.921480077704,0.11725573755739983,8494
sig_wal_copyable_pnl,B,0.15000000000000002,13110.913541289767,0.1293356839306824,10107
sig_wal_copyable_pnl,B,0.2,16712.050685781487,0.08120405594248827,12829
sig_wal_copyable_pnl,B,0.25,15793.296740041143,0.0614363146472389,18383
sig_wal_copyable_pnl,B,0.30000000000000004,16222.806404424697,0.06144444587522004,19650
sig_wal_copyable_pnl,B,0.35000000000000003,19818.748240234418,0.06858551239550867,22529
sig_wal_copyable_pnl,B,0.4,20797.980032496795,0.06552499170494468,25761
sig_wal_copyable_pnl,B,0.45,24562.592665870656,0.07152642913195864,29223
sig_wal_copyable_pnl,B,0.5,26907.79493680423,0.07257432882596322,33104
