split,n_wallets,mean_diff,median_diff,p_gt0,ci90_lo,ci90_hi,mean_sharpe_top,mean_sharpe_rest
train,74.0,0.2924308745919222,0.10889262812805395,0.6351351351351351,0.11340020117212442,0.48414855454257194,0.4709575219781658,0.17852664738624363
val,39.0,0.14875245301815085,0.10070724266834236,0.6153846153846154,-0.07366988723788068,0.40296459500205345,-0.1286313629945465,-0.27738381601269735
test,29.0,0.3027558022545489,0.1555625297603213,0.6206896551724138,0.13976793326665057,0.48531244760445347,0.04624664414701757,-0.25650915810753133
