frac,trades_total,trades_kept,qty_kept,retention,cpnl_all,cpnl_kept,realized_capture,roi_all,roi_kept,roi_res_mean_all,roi_res_mean_kept,exp_med_kept,split
1.0,36991,27198,18692,0.7352599280906167,22570.770539039633,23142.630593773723,1.025336310683101,0.3192839184207046,0.3517262702055334,-0.0032090571603605655,-0.039919420049040366,3.996641499999999,train
0.8,36991,17461,12487,0.47203373793625475,22570.770539039633,19324.450335403242,0.85617149410024,0.3192839184207046,0.32947274938583815,-0.0032090571603605655,-0.029101184634735246,7.4783909334825625,train
0.5,36991,12061,8871,0.3260522829877538,22570.770539039633,13022.369756046373,0.5769572524572067,0.3192839184207046,0.26077050520031614,-0.0032090571603605655,-0.027862799081387182,10.203472166692611,train
0.2,36991,6786,5156,0.1834500283852829,22570.770539039633,5874.854728098891,0.26028596223320877,0.3192839184207046,0.18987592877666382,-0.0032090571603605655,-0.06993072438340739,6.399338772857143,train
1.0,17625,12636,7695,0.716936170212766,-1377.3632368549402,-1525.7206716158535,1.1077111910578297,-0.03477111256933199,-0.040728269175005105,0.00036463288101205106,-0.03609425325769918,7.418157625,val
0.8,17625,8915,5786,0.5058156028368794,-1377.3632368549402,-1407.408454211209,1.0218135757891098,-0.03477111256933199,-0.041024293810764556,0.00036463288101205106,-0.06355253822389481,11.997000000000002,val
0.5,17625,5165,3708,0.29304964539007095,-1377.3632368549402,-1180.0589422149378,0.8567521701170671,-0.03477111256933199,-0.03915833884404788,0.00036463288101205106,-0.11844033388387924,16.46743007,val
0.2,17625,2532,1882,0.1436595744680851,-1377.3632368549402,-349.7193686670432,0.2539049680646258,-0.03477111256933199,-0.01604550566461284,0.00036463288101205106,-0.14209333100358873,19.999999000000003,val
1.0,12436,8729,4924,0.7019137986490833,687.9886271232385,392.1222959700116,0.5699546191768243,0.02857468450312206,0.017760684875526647,-0.0034353477428201826,-0.053633091651763436,5.2200000000000015,test
0.8,12436,6562,3863,0.5276616275329687,687.9886271232385,225.2997432120207,0.32747597028469927,0.02857468450312206,0.010860382177167949,-0.0034353477428201826,-0.07049668887719535,8.185677329999995,test
0.5,12436,4124,2558,0.3316178835638469,687.9886271232385,428.56230482210185,0.622920623868589,0.02857468450312206,0.02316849510749906,-0.0034353477428201826,-0.07153556134826461,14.987127465,test
0.2,12436,2188,1375,0.17594081698295272,687.9886271232385,-151.64966978275436,-0.22042467535671859,0.02857468450312206,-0.01130013293168364,-0.0034353477428201826,-0.07961046000140798,23.463319999999996,test
