n,median_exposure,mean_roi_res,med_roi_res,mean_copyable_roi,sd_copyable_roi,sharpe_copyable,pnl,split,axis,price_q,price_min,price_max,bin,mean_price
392,0.3185042999999995,-0.39577689197381827,-0.87141392878647,0.1098779174110419,1.1824283122424806,0.0929256482387993,125.50707583272825,train,marg,3,0.3,0.65,0-20,0.4486133120978124
554,3.0037664200000003,-0.3894565249290754,-0.43296514812891007,0.15300561689773487,1.2142180676392262,0.1260116456636326,193.31645085109403,train,marg,3,0.3,0.65,20-40,0.4486133120978124
948,3.9621599999999995,-0.34266311012478934,0.026052732651219573,0.30192647577451304,1.253461305091883,0.2408741893730663,640.9363530503792,train,marg,3,0.3,0.65,40-60,0.4486133120978124
1497,5.2846541999999985,-0.37716168852672805,0.011530410640189087,0.17821408048689613,1.2078081084053434,0.1475516510004146,558.0156192776881,train,marg,3,0.3,0.65,60-80,0.4486133120978124
1511,11.105786000000002,-0.3777125676730333,0.010629326435356787,0.13865686156601206,1.1540112537254008,0.12015208787470433,2474.017651056984,train,marg,3,0.3,0.65,80-100,0.4486133120978124
680,0.06287253999999973,-0.23042244369448137,-0.17127681219707194,0.034033688624647646,0.4146688871438979,0.08207437229993414,393.043795171356,train,marg,4,0.65,0.9990000000000002,0-20,0.8394871724730795
459,22.739200000000004,-0.19699731131371265,-0.1044736727901252,0.09975415982399781,0.4142663979604698,0.2407971303371715,469.049075514404,train,marg,4,0.65,0.9990000000000002,20-40,0.8394871724730795
626,11.15766811315069,-0.22811758437040192,-0.15146796824101424,0.04492498766330516,0.4353221007572899,0.10319941851138108,377.525970907418,train,marg,4,0.65,0.9990000000000002,40-60,0.8394871724730795
933,9.200000000000001,-0.24684359857671173,-0.15760314901995617,0.011062896029632511,0.4599461982734222,0.02405258717467646,205.8111757666835,train,marg,4,0.65,0.9990000000000002,60-80,0.8394871724730795
2167,20.271533456442526,-0.25679545394826403,-0.15989822876097318,-0.010669385571378854,0.4616181511765019,-0.02311301135838431,613.6387281515082,train,marg,4,0.65,0.9990000000000002,80-100,0.8394871724730795
620,1.1125849100000003,-0.5195194746503722,-0.8723776926836129,0.8181898566093271,2.7743576075118557,0.2949114614475058,193.56686516019352,train,marg,2,0.12,0.3,0-20,0.1955833962497835
957,1.9328858230000001,-0.5636996548087205,-0.8724149288119957,0.5525266333550551,2.5995531277656467,0.2125467748489371,385.22816607859824,train,marg,2,0.12,0.3,20-40,0.1955833962497835
