scheme,target,val_threshold,val_trades,val_firing_rate,val_pnl_net,val_roi_net,test_trades,test_firing_rate,test_pnl_net,test_roi_net,test_pnl_net_all,test_roi_net_all,IC_test_selected_vs_target
equal,copyable_pnl,-0.2999999999999994,49382,0.945707336691116,2492.7984564120884,0.011606942324544695,39214,0.9282079200890004,9845.391635297598,0.04964147202857453,9605.316107705046,0.046825666325762544,0.18486253513255885
ic_weighted,copyable_pnl,0.40000000000000124,8810,0.16871899955953043,1342.4003741831789,0.012733581843015453,6906,0.16346722844225625,3237.2320177888687,0.032815268325734503,9605.316107705046,0.046825666325762544,0.04446338474749639
shrinkage_markowitz,copyable_pnl,-0.0999999999999992,40246,0.7707451596223452,1476.9852688190624,0.007459821121398816,31191,0.7383009444457594,8084.845455964123,0.044447308761363165,9605.316107705046,0.046825666325762544,0.32677478167643614
