wallet,mu,sigma,n_days,total_pnl,mu_shrunk,var_shrunk,sharpe_proxy,mu_cs,var_cs,test_pnl,test_n_days,test_sharpe,alpha_kelly,alpha_tier,test_roi
0x01adea599a865a092b51ee4573581a75fc1390f6,277.96189000687144,1216.0407685171006,48,13342.170720329828,306.2511421275386,35499388.47234183,0.05140049260382172,374.14534721713994,117148908.44429262,0.4575505167042868,5.0,0.024865740377652556,0.8512538877883609,0.9607843137254901,3.429355884399715e-05
0x0787a58e205a70320db638113fe8da18c8800ca3,84.71400403148492,513.3007803180566,128,10843.39251603007,123.82634770522209,16058806.171239654,0.030899854564984428,374.14534721713994,117148908.44429262,10.461420880623345,44.0,0.04461840569478249,0.7608553003604027,0.9607843137254901,0.0009647737887527316
0x1f9e15f39bbd5d163b0eacf0fbef647ced9e4f1a,40.477158420294465,210.0060103861872,75,3035.786881522085,110.7230929038409,24697745.875955015,0.022279710834004318,374.14534721713994,117148908.44429262,942.0585978402869,57.0,2.856315788343608,0.44236744051731813,0.0,0.3103177642588523
0x206191d01c411a5b346d11a2df2d463a356b8ec9,534.0134574553934,5414.405620161693,99,52867.33228808395,507.14486749938453,44077657.164958544,0.07638758558155552,374.14534721713994,117148908.44429262,26954.319831411798,7.0,12.592118583491624,1.1353134818373856,1.9215686274509802,0.5098483064084393
0x238fe1b4a91d47bda4fb418dd4a6a09494983015,9.394699265957591,178.95498455069023,528,4960.401212425608,22.7067667094314,4306363.702473533,0.010942081492017773,374.14534721713994,117148908.44429262,-132.37191875156077,98.0,-0.8374171364672166,0.5202916486105297,0.0,-0.026685728247137424
0x33739438875aee79e98a26f87320d984f0703716,13.913611729907355,135.86765858653908,304,4229.737965891836,36.15013861183529,7248734.614701814,0.01342699622693338,374.14534721713994,117148908.44429262,309.5548670282894,26.0,3.89960334715487,0.49209622113277773,0.0,0.07318535321206832
0x40cfb29411d29f4fa0908f2a121297042cccd21d,361.47911256595256,4264.917457121538,177,63981.80292417361,362.7650247132812,28236159.243799392,0.06826885162401779,374.14534721713994,117148908.44429262,5295.295176213639,26.0,4.202815334650273,1.2677162268925901,0.9607843137254901,0.08276251893822408
0x6725d56690fbe9ba9f301997cef4b503f1cd1bf9,68.44064403471828,468.6215688619705,117,8007.555352062039,113.06906785696961,17289577.309034765,0.02719265570062615,374.14534721713994,117148908.44429262,634.6513194589236,21.0,3.376541753271966,0.645300050541762,0.0,0.07925656352728096
0x6bc74c392c320cfe10d5be61db978a58c8444ad4,255.32183062787678,1045.7570666446861,102,26042.826724043432,274.80109564251006,20119066.957495548,0.06126529682081826,374.14534721713994,117148908.44429262,2729.2678303611387,7.0,8.835504348268799,1.34776100624009,0.9607843137254901,0.10479921627867707
0x7a90bfdb1c7bbb30ab19fdd48a6b49dede972ff9,142.04131970570728,487.7695943103769,105,14914.338569099265,179.1779641075365,18943677.459879134,0.04116730644858061,374.14534721713994,117148908.44429262,-8.863004629211428,3.0,-4.401345350539896,0.9333028029265499,0.9607843137254901,-0.000594260656491634
0x7d51f58c68b427d113d5c84b508161d4e0286f1f,32.010252031043734,114.85280808708966,52,1664.5331056142743,127.04777847162602,32550890.411071915,0.02226822695877332,374.14534721713994,117148908.44429262,1035.1601937940386,3.0,21.518693110441223,0.3851292161139764,0.0,0.6218922232922645
0x82001288e3b1f5dd413e3126a34e1583badedf37,45.89798845002156,284.65500489316634,91,4176.716948951962,105.0416566963492,21174340.17856422,0.022827408977505587,374.14534721713994,117148908.44429262,6.705068003213249,1.0,0.0,0.4895014018598789,0.0,0.001605344121989332
0x882b45bba3afa6c269b4c226aecd86d06e81a746,198.88244561285904,963.1681552455086,53,10540.76961748153,246.89967892910042,32769121.812817004,0.043130860597054836,374.14534721713994,117148908.44429262,-306.0114369601595,9.0,-6.021305797864918,0.7434606474075925,0.9607843137254901,-0.0290312233418563
0x93521335308a270795daa9f073b5406938b12227,181.8083907168302,1734.013576155265,144,26180.408263223548,205.26411711930697,16926572.028876364,0.049891726021299064,374.14534721713994,117148908.44429262,-7569.247522145443,28.0,-5.7934115967103965,1.1965925238381319,0.9607843137254901,-0.2891187733225003
0x9ad091ca2e8f1bd69f27662edcb49dceeaa5bf3d,586.2031038784436,6145.379393080182,354,207515.89877296903,574.863116891208,42010779.89341851,0.0886919234185709,374.14534721713994,117148908.44429262,-6377.929605078076,49.0,-4.191205793679133,1.350224439311587,1.9215686274509802,-0.030734655237456263
0x9ffaa9cd1fb96e1fd635cae0a13e2022827fc8fc,12.337864615388137,158.68581204790692,483,5959.18860923247,26.72384801903632,4682188.234951162,0.012350216149155041,374.14534721713994,117148908.44429262,-111.10784457747717,123.0,-0.43188250556906377,0.5631866959543144,0.0,-0.018644794092494348
0xa9f2d6b4a8b0b322ddb2f837c2852c1b47056c8e,441.885777770836,3262.797132041265,61,26955.032444020995,425.1597455353555,36942897.79632236,0.0699498293345797,374.14534721713994,117148908.44429262,845.8268503302031,18.0,6.158640617597408,1.1355949254544278,0.9607843137254901,0.0313791813119416
0xaacbc9d95817074834824232a53bbfb88ff290cb,556.2885591597451,2551.1371361470124,42,23364.119484709292,497.53268433954986,42198819.31867491,0.07658989357628125,374.14534721713994,117148908.44429262,-146.70273093143015,3.0,-12.243512681190387,1.1633853194599773,1.9215686274509802,-0.006278975376214804
0xb37aa8834f9baefc6fb3312f59df8ddf0348f1b1,99.24449107139414,590.1667824818282,154,15283.651624994696,130.84229062837642,13773654.487828592,0.03525522951871678,374.14534721713994,117148908.44429262,643.0122018653271,55.0,1.1491548100415967,0.9373487774104579,0.9607843137254901,0.04207189601297591
0xb43699cbbb52520952833c10737bc43e7625bb3c,243.12586631170856,794.0026184767665,40,9725.034652468343,286.79902661351906,39469929.58686285,0.04565039053146239,374.14534721713994,117148908.44429262,3854.9010444553023,9.0,6.492126019031817,0.7169908023948632,0.9607843137254901,0.3963894404712355
0xc798197ae9aff808af4406320f31d822ae788aab,52.343081584726384,295.7474758367439,90,4710.877342625375,110.8525844269834,21371365.092159953,0.023978923987020763,374.14534721713994,117148908.44429262,-50.99999999999696,6.0,-10.882303929239278,0.5118183146108072,0.0,-0.010826008891917918
0xcf6a714618a328c608a1c70cb62a31a6bef3f9d0,905.864899316658,3918.0471283939046,143,129538.6806022821,840.6232364823612,27841622.765834358,0.15931406467974904,374.14534721713994,117148908.44429262,-178.6975560714735,6.0,-10.289058461624986,2.9792648240144297,1.9215686274509802,-0.0013794918648285612
0xd35694160b7bc6f734ab2e95072686aceb1a963d,1379.2046464828877,2212.769513063111,13,17929.66040427754,770.0777984430406,72928203.17633614,0.09017514431356184,374.14534721713994,117148908.44429262,13.53089999999961,4.0,9.552486587271032,1.0419367409375735,1.9215686274509802,0.0007546657156301465
0xd7befdd99c37c7fb63c2845c6eb931506fca539f,92.48509242674886,227.8845402177748,46,4254.314251630448,177.83668478747344,35535863.81234371,0.029832380887867355,374.14534721713994,117148908.44429262,-181.38841039586674,8.0,-4.020597827938435,0.4938064292316412,0.9607843137254901,-0.04263634505287201
0xfb328b94ed05115259bbc48ba8182df1416edb85,179.84584085235943,910.2769263110332,237,42623.46428200918,194.96642500526065,9880767.84613211,0.06202467261562119,374.14534721713994,117148908.44429262,-1849.4549775819485,7.0,-10.757188455539696,1.9470244087307051,0.9607843137254901,-0.043390536380276803
0xfc2f4f50ce2f6045d35558a5e2d8d4b2ac6610c7,4650.86350835861,61637.86057702633,193,897616.6571132116,4249.293727969739,3453490931.811655,0.07230820694416183,374.14534721713994,117148908.44429262,6070.518904379019,8.0,10.046281975775951,0.12141174342721107,1.9215686274509802,0.006762930318051547
