split,n_wallets,mean_diff,median_diff,p_gt0,ci90_lo,ci90_hi,mean_sharpe_top,mean_sharpe_rest
train,83.0,0.7132429510856616,0.3731947807705498,0.9036144578313253,0.5263193152521578,0.9319259184544105,0.892934559714764,0.1796916086291021
val,49.0,0.8625280604868542,0.2999343906113544,0.7142857142857143,0.4490511198078117,1.3337408801920736,0.7369666488392567,-0.13116300384137616
test,31.0,0.64377688904353,0.08769710042242851,0.6451612903225806,0.06852157456044738,1.3157049595490293,0.7154927185818408,0.13726166698489067
