signal,presence_train,boot_mean_ic,boot_ci_lo,boot_ci_hi,significant,IC_train,IC_val,IC_test,|IC_train|,spearman_price,wb_ic_pnl,wb_ic_roi
sig_exp_usdc,1.0,0.06582953140662309,0.0567287235066883,0.07404151417600975,True,0.11464409104188224,-0.004797733484560547,-0.10166526811176692,0.11464409104188224,0.574331008228624,0.009897539877645892,0.04737600229115983
sig_exp_log,1.0,0.06582964661104802,0.05672904105964948,0.07404185355209339,True,0.1146439997367,-0.004797570840428738,-0.10166394226628254,0.1146439997367,0.5743311780625318,0.009897516648493572,0.047375739075095125
sig_exp_marg,1.0,0.02863368417889661,0.020751359636392144,0.037787275976994716,True,0.0913039585087432,-0.005999858231051766,-0.13945184179719033,0.0913039585087432,0.7042586012810816,-0.07958702983874348,-0.008325367266835401
sig_exp_wt_minmax,0.9979534339783117,0.007782836945948403,-0.0011839089058368363,0.015812673428587894,False,0.06663329894175299,-0.033539928585528504,-0.101537699521033,0.06663329894175299,0.5594336594635305,-0.034101743159414284,-0.011089092749347095
sig_exp_thr_0.8,0.46409206889219645,0.02214742848856968,0.013727096296542684,0.03055485915583473,True,0.06031976395368581,-0.012048158908693337,-0.03371478070319944,0.06031976395368581,0.4562206882133552,-0.00014518975054716413,-0.009468272052099044
sig_exp_thr_0.5,0.3205666595789921,0.008186398075536935,0.0008045539926495058,0.01532468744889763,True,0.056736661316620085,-0.03345978961541699,-0.0026259670063700376,0.056736661316620085,0.4629931051732127,-0.0162700964023783,-0.038729971387456215
sig_exp_marg_wt,0.9980065915373166,-0.0006265700571933484,-0.008580636705609454,0.007633680544719919,False,0.0517753013066256,-0.008850452368835755,-0.04706616233998246,0.0517753013066256,0.4902929157642448,-0.08518398910007202,-0.028184676593734657
sig_exp_top_0.2,0.20292898150116948,0.008049953575834806,0.0004787238909590831,0.015113629329265198,True,0.04191566964419891,-0.03669490161081264,0.0030287079123885946,0.04191566964419891,0.3432400588946421,-0.029914996441424684,-0.022504311828171284
sig_exp_wt_rank,0.9980065915373166,-0.01664829890024939,-0.02561346341582288,-0.009370547657987156,True,0.027602980771839373,-0.03660116792822043,-0.008161405375140911,0.027602980771839373,0.44495858831539287,-0.059572622284793555,-0.0392664913191253
sig_exp_thr_0.2,0.18036359770359345,-0.010583473638914556,-0.017626390141777915,-0.003507278356373925,True,0.025017398585696706,-0.034831914509367096,-0.002359103912263045,0.025017398585696706,0.35756494867042127,-0.027337414428505125,-0.054098402566989424
sig_exp_top_0.5,0.5011163087391027,-0.012813940742866526,-0.02168723847559924,-0.004604178980093741,True,0.023601281974828543,-0.01929624463375959,-0.0096975727739993,0.023601281974828543,0.39194911609998717,-0.05065646704558732,-0.030046970015873194
sig_exp_pos,1.0,0.03038475260607312,0.02214036336863126,0.0384355902515381,True,0.0011378378653932543,-0.06006651570077921,0.01657413626478606,0.0011378378653932543,-0.24975668851711305,0.024422102953503087,0.03292137629682487
sig_exp_top_0.8,0.8003667871571337,-0.031628320230379196,-0.040658509164673215,-0.02247412498662366,True,0.0010943942480937882,-0.03501391481459172,-0.01627297001123904,0.0010943942480937882,0.2893693520038055,-0.04058252623018692,-0.0178929459154275
