wallet,n,exposure_pctile,exposure,cum_cpnl_frac
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.0,29.816497948992335,0.022165152128638885
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.008298755186721992,22.812494846249923,0.01799811492588251
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.016597510373443983,21.406248806093735,0.03840401327499207
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.024896265560165973,20.337791554757104,0.04516084521096313
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.03319502074688797,20.0,0.04516084521096308
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.04149377593360996,19.999999,-0.03257334777407031
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.04979253112033195,19.999999,-0.01648338030989534
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.058091286307053944,19.999998999999995,-0.12682638476730063
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.06639004149377593,19.999998,-0.11358524478595636
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.07468879668049792,19.999998,-0.11358524478595647
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.08298755186721991,19.999998,-0.10132491157037261
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.0912863070539419,19.999997999999998,-0.07134981515411377
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.0995850622406639,19.999997,-0.09404431160379721
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.1078838174273859,19.999997,-0.06015505429715265
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.11618257261410789,19.999995000000002,-0.013591755366617537
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.12448132780082988,19.999995,-0.011904291410798408
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.13278008298755187,19.999994,0.013444034239070545
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.14107883817427386,19.999994,-0.034849715340548496
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.14937759336099585,19.8981,-0.03431690760731966
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.15767634854771784,15.000000000000002,0.00035838327718447203
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.16597510373443983,14.999999999999998,-0.03857956982941126
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.17427385892116182,14.999999,0.20769743762750847
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.1825726141078838,14.999998999999995,0.27100876876959623
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.1908713692946058,14.999997999999998,0.27100876876959623
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.1991701244813278,14.999996999999999,0.27286767878256674
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.2074688796680498,14.514397638847958,0.2176961793124388
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.2157676348547718,11.474398935126397,0.305647221659969
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.22406639004149378,10.0,0.3449079708041798
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.23236514522821577,10.0,0.3449079708041798
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.24066390041493776,10.0,0.35910704725646814
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.24896265560165975,10.0,0.3317531463940941
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.2572614107883817,10.0,0.3459336024634492
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,242,0.26556016597510373,10.0,0.44248373619118553
