frac,trades_total,trades_kept,qty_kept,retention,cpnl_all,cpnl_kept,realized_capture,roi_all,roi_kept,roi_res_mean_all,roi_res_mean_kept,exp_med_kept,split
1.0,64945,30758,19090,0.4736007390869197,687633.5430800735,695187.6318495076,1.0109856315845174,0.21418829792850758,0.26148385337080104,1.4004075783708188e-17,0.06073647865257985,545.469999,train
0.8,64945,20165,12979,0.3104934944953422,687633.5430800735,588141.7244845338,0.8553127322005085,0.21418829792850758,0.24859224865313226,1.4004075783708188e-17,0.045310771427305115,1020.9246163199999,train
0.5,64945,11067,7662,0.17040572792362768,687633.5430800735,430506.87888220925,0.6260702131456051,0.21418829792850758,0.22686870540803877,1.4004075783708188e-17,-0.014663358936030853,1776.0783340767762,train
0.2,64945,4746,3464,0.07307721918546463,687633.5430800735,183416.3611365829,0.26673562245817384,0.21418829792850758,0.1423603769021569,1.4004075783708188e-17,-0.10217289937160424,3282.0369230785013,train
1.0,73424,23093,13915,0.3145156896927435,43860.66815067656,105080.14858127522,2.3957717246871066,0.01790685719556326,0.05722096435343169,0.015302156534541046,0.19220521580560393,251.6,val
0.8,73424,15304,9780,0.20843320984964045,43860.66815067656,53616.43608988792,1.2224263411970133,0.01790685719556326,0.031718184055967394,0.015302156534541046,0.1530777790391938,432.15910381999987,val
0.5,73424,9461,6448,0.12885432556112442,43860.66815067656,48094.59605771744,1.0965313134878811,0.01790685719556326,0.030833871224526473,0.015302156534541046,0.09339192268331077,659.3999999999999,val
0.2,73424,4576,3161,0.06232294617563739,43860.66815067656,17565.760874066975,0.40049004300897817,0.01790685719556326,0.016265602129770736,0.015302156534541046,0.08403483768277772,1470.8699839454264,val
1.0,64801,12835,9514,0.19806793105044676,182570.65632307658,172306.37466684487,0.9437791271447913,0.08592266412674826,0.12325484271964605,0.023843311115386994,0.11798273213655344,388.83296988000035,test
0.8,64801,8904,6750,0.1374052869554482,182570.65632307658,185369.70190329239,1.0153313004213702,0.08592266412674826,0.15725351000622692,0.023843311115386994,0.11428806381830448,455.81652618597616,test
0.5,64801,5752,4370,0.08876406228298946,182570.65632307658,151255.6947770465,0.8284775758782661,0.08592266412674826,0.18031981813542824,0.023843311115386994,0.1281449796752573,502.977920679,test
0.2,64801,3251,2542,0.05016897887378281,182570.65632307658,78420.80299480834,0.4295367315546869,0.08592266412674826,0.18843110246794775,0.023843311115386994,0.10924100660048978,770.36315,test
