design,cost_bps,pnl,roi_w,sharpe_daily,ci_lo,ci_hi
wallet@0.50,0.0,7860.26,0.0584,1.219,-5.649,11.866
wallet@0.50,10.0,7725.59,0.0574,1.219,-5.649,11.866
wallet@0.50,30.0,7456.24,0.0554,1.219,-5.649,11.866
copy_all,10.0,9400.19,0.0458,0.814,-6.294,7.788
price_top50,10.0,7955.37,0.0411,1.02,-5.148,6.207
