wallet,n_top,n_rest,sharpe_top,sharpe_rest,diff
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,41,133,-0.020734844068669163,0.10809105722189981,-0.12882590129056898
0x04dbe94fc549e2bfff09aec1cd9d02960adaf0fd,34,95,0.34964652088686105,0.0710832656025938,0.27856325528426723
0x0e7fb335ea9e556e5269994c3d6c21f0820c8605,25,58,-0.03812464258315121,0.18777812070224145,-0.22590276328539266
0x1838cca016850ac7185a9b149fe7d0bd2d6629b4,118,337,0.3677050964293111,0.033466775266612014,0.3342383211626991
0x198e7791061f8a63e688c0de0108dcec8c98ede0,149,349,0.2847110588246217,0.27947415586407365,0.005236902960548073
0x1bf71e6bc7aecd80e302e016c2d47f398aba40c0,25,78,0.6974350405870272,0.24186838094192653,0.4555666596451007
0x2c576d00e8e76c133e33dbb82b70eb5de78f372d,119,386,0.007319254476875118,0.09693155602206677,-0.08961230154519165
0x3be578df57b561105d8f6578c1e1f2d0c079bc8b,31,80,0.9229419387132807,0.14028021906313873,0.782661719650142
0x3dd3035809b0969b8d14dcbf2be8b3e7324dccac,142,172,0.38768375698475305,-0.016503814192360945,0.404187571177114
0x40f222e47e76f7fa9022233237bb03df12e5a57c,26,82,-2.6762923235732776,0.2921153339578107,-2.9684076575310883
0x4247c89f4a9236a6b5fb24502023bcc98ab1455f,18,82,0.25825648795878675,0.13088909719697162,0.12736739076181514
0x4de148ab2ea9ddffdc82f5e5b8f7605d6ba118a2,23,65,0.1440623707307195,0.1512788908750293,-0.00721652014430979
0x4ffe49ba2a4cae123536a8af4fda48faeb609f71,76,249,0.14669118623997182,0.18902930070051693,-0.04233811446054511
0x53685989c332366675257535f28abd6d17782d62,35,71,0.5035236826423835,0.1830939942852406,0.32042968835714286
0x5be33cbfe9174bc7d29e40c12b02098fcb1327a5,13,95,0.4000086756738763,0.13891358825047087,0.2610950874234055
0x5e40ba72c60c6fe4f970161818200bb5263cf89c,22,79,-0.055608150699154583,-0.13182126117393794,0.07621311047478335
0x5e71d59168257fb5b2c1a8c3037c53084435afe6,17,55,0.3183428606516506,0.3191491708386989,-0.000806310187048298
0x5f612351a9e46afbe3f164473a7d77a69ec9840a,22,78,1.2717297167850898,0.30057746657517004,0.9711522502099198
0x607c221d1fca1747501fe0b605991ed540fd8e7e,270,822,0.04084095699140542,0.16413787576639016,-0.12329691877498475
0x6c9f38d67d77721353d8aeac0a7e8bc207638e7d,15,61,0.5768796984494678,-0.2165738844033957,0.7934535828528635
0x702e2cd7a34372405f24534e25012a6da4284357,27,107,0.4749663862623024,0.5009992010178116,-0.02603281475550917
0x710dc593d792853f2c103100e7f081ffdaaa02aa,44,115,0.9743531150232031,0.15262485160330272,0.8217282634199004
0x72476fa4e440ef335fcabd3b14c9af328860ecb6,20,67,0.5691142023316628,0.5700116065221222,-0.0008974041904594721
0x726e9d517a96053a87d3beafae95a3678539aafb,20,90,0.6225668997069662,0.1759841434946984,0.44658275621226784
0x73e780f4b97209e80f6b9e04e460591adf418b59,25,86,0.05832361593726526,0.27348599884574737,-0.2151623829084821
0x77357b4fcc685e5ba9e67b7ba00f8ae059c34740,113,414,4.004635556361939,0.390893769179607,3.6137417871823323
0x77bdeb3f229bf6d826d20dbd5f0c7972c32ae48f,889,3436,0.02177989661207449,0.09639049669831223,-0.07461060008623774
0x7b2007f18b374aa05c018f65ced5084daf6aeb02,16,56,0.3414124479110163,0.2083117074920215,0.13310074041899483
0x8383a695e82d69bff00d4032c7037b3eba01cb59,27,93,0.37044074564145313,0.4018588658222,-0.031418120180746856
0x85d22a973e817f87afe0a7fd346a39823cce7479,50,174,0.6642854489576149,0.26672827166232294,0.39755717729529194
0x85dfe68799c81169482aad52aabd3d899404fb48,14,62,-0.26945320793292926,0.1659936877332691,-0.4354468956661984
0x86995e70ebadcc054e573783f62f45786325f6be,27,84,0.5143569199169923,0.06997506168214962,0.44438185823484266
0x87046cc15301a1eb23a62d5a53d44301c4963b94,25,61,0.13618078674011866,0.21486042163806082,-0.07867963489794216
0x8a19890daccd81dc8eab48ea8a311d2a801e073d,10,66,1.6991571556409915,0.3567271078979595,1.342430047743032
0x8cc1262cf53b83047926e09af8e5ab3bf537b9f8,57,125,0.30373589850962557,-0.017296422672463774,0.32103232118208935
0x8d0930676d559cc8fb7d8af0c555791c1820143f,30,337,5.648845309737092,0.1779101301694752,5.470935179567617
0x8eea2d8458fcad16bf50dec2b7de76e989d6e285,15,73,1.219355303853466,0.09624271465494301,1.123112589198523
0x919698b19427cbe6945b0dc823f2d9e126a4d934,49,225,-0.7501153114274535,0.16907257217927965,-0.9191878836067331
0x9a2626d1b61d20792e4db19fd492b8cf369fc335,41,155,0.12526101949199936,0.2995545261206751,-0.17429350662867577
0x9be9889b723b32bfc8398039d875549746217017,40,171,0.29094813366675476,0.24517299961785455,0.04577513404890021
0x9cb35555b913c805a62a2e34bce4ef14f0e81367,1261,4789,0.06902331530431116,0.03845139828484842,0.03057191701946274
0x9cefe51ca5380e8d66d25f9463900581a4ff8fa3,50,180,0.21124908506231893,0.14064611830732984,0.07060296675498909
0x9e83dcf11f1457887cfec68efaec6ad6aeaa9394,52,134,0.5075217812867397,-0.046493526064073,0.5540153073508127
0xaa2873c371b71d36d31ea67be7e8be97c072090b,219,605,-0.003891756305794936,-0.015127074449780523,0.011235318143985587
0xaa7a74b8c754e8aacc1ac2dedb699af0a3224d23,19,74,-0.8920383919211816,0.29454281549596256,-1.1865812074171442
0xae8f39981cdf14c2087dd14f7b47c2d3a831c820,17,55,0.3276476803668387,0.6332003227170419,-0.30555264235020313
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,108,316,0.21258587857650182,0.11599396560818916,0.09659191296831267
0xb07e2acde1de238ba676b9042d6759c59fdee682,14,41,3.0022155929370102,0.6211612752279926,2.3810543177090175
0xb3476e21d2505bd523c3193f6feac01fda0aa115,14,60,-0.6599718634510159,0.27686059677084834,-0.9368324602218643
0xb79fadaa593335ee1a1ccb4506c9c89ac3b2d749,26,77,0.5491549594469644,0.056175846263987084,0.49297911318297727
0xb8fca82fafe3735faa7df168582c1e7d709088e1,39,100,0.10848939848949948,0.43667345333819824,-0.3281840548486987
0xb95e3c95df098ed35ef27c23daf7b7e59eca8b12,15,60,0.02287233061636215,0.3579220593045716,-0.3350497286882095
0xbc4e46aa57fc149c046e847dfe5ae536db697dbb,69,252,0.15057580341615093,0.02938246012835569,0.12119334328779524
0xbd71233ab7a25bc420929cd67476219762f31281,20,70,0.5999392412866171,0.2695258563979472,0.33041338488866995
0xc1232d96a5d9e9ff60bdbbf446da84deb5e2ed5b,67,155,0.17668126886535152,-0.23700712852379788,0.4136883973891494
0xc327160887453b4e7e2e6c0964c854055c79d803,43,143,0.790388331257937,0.1950519039760469,0.5953364272818901
0xc8769416b054a6dfbaad14cb38309effc79b8711,33,76,0.10744832330295596,0.06106201910328209,0.04638630419967387
0xcaf59289145789242a4af6b975997344229841ab,27,87,0.20530694400411728,0.26998022980720515,-0.06467328580308787
0xcb7281ddba4c19c32bcc07489818b1b63c81f5f9,25,90,-0.14075376176299087,0.2128269715888654,-0.35358073335185625
0xcdbc708656ef6aabe195eddd89d3cc89294cbd73,13,65,0.42026546255206804,0.13675580124230188,0.2835096613097662
0xce305d7fc93e0e1f2271e55b5f03e63748b63760,43,128,0.29962555971761723,0.046519366301119254,0.253106193416498
0xcf006e28309313be21b36d22bde515882182353f,37,133,0.22399213532248224,0.16975126214810365,0.05424087317437859
0xcf90817e46ec2098f1b1f4f5192db8adf64062b9,18,75,0.3006350902185908,0.15762323635756498,0.14301185386102583
0xd372b7468864233aa6d33aa2dda181511c7804be,38,152,1.2332570609090252,0.20157696620455942,1.0316800947044658
0xdaeb1eb83a0bfacabac7ee811805fa2b43c60d2f,137,429,0.17220957538137294,0.11432409452257869,0.05788548085879425
0xdd704b471041b806b65d04a3b48f5aa953811d06,39,145,1.566716435532735,0.07874432583564127,1.4879721096970937
0xe27249b5caf89a279dbdceb26ca85ad01e0aac63,33,96,0.05685009660521175,0.1872814573572264,-0.13043136075201464
0xea5ea97ace089a67895dc11bb8aff9f30694a678,25,86,0.23081461701873562,0.27312296659716606,-0.04230834957843044
0xed541ad118dea9103306043869e83344cac44967,21,78,0.5829646857477475,0.04270515585284149,0.540259529894906
0xef2281918ea87f8f9070cb982e70f2151240441d,22,88,0.9781102746061828,0.04750433363694271,0.9306059409692401
0xf114b578bc08e5641d4cbfbb52e6e97b038d6ecc,74,272,0.39380317545065857,0.09747565424753345,0.2963275212031251
0xf1432e8ec0445b3428750ea50a396dceb46cb143,22,107,1.2981445008841894,0.13812608584390618,1.1600184150402832
0xf229d2b21a9183904c56cddeecbe6ab7c4ca3058,19,82,0.32961243689517045,0.5131131437655366,-0.18350070687036618
0xf9712c6d06a0e6527ae7f85c9d540158e1a40a57,38,140,0.5122426937198061,-0.18324250733451936,0.6954852010543255
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,114,26,0.047316756831634596,0.3914202383594443,-0.3441034815278097
0x04dbe94fc549e2bfff09aec1cd9d02960adaf0fd,14,17,-0.14432107063270924,-0.0048507125007266685,-0.13947035813198258
0x198e7791061f8a63e688c0de0108dcec8c98ede0,64,86,-0.8116234555423352,-0.1526220938854352,-0.6590013616568999
0x1bf71e6bc7aecd80e302e016c2d47f398aba40c0,53,84,-0.38276275595527953,-0.16396847746076912,-0.2187942784945104
0x2c576d00e8e76c133e33dbb82b70eb5de78f372d,119,688,-0.19879810390822195,-0.28835470051975637,0.08955659661153442
0x4247c89f4a9236a6b5fb24502023bcc98ab1455f,13,113,-1.6696475906379395,-0.2531391244095538,-1.4165084662283858
0x4ffe49ba2a4cae123536a8af4fda48faeb609f71,268,293,-1.7428883316552815,-0.16720601260933554,-1.575682319045946
0x53685989c332366675257535f28abd6d17782d62,54,44,0.04492233199970471,-0.32403345609689715,0.36895578809660184
0x5e40ba72c60c6fe4f970161818200bb5263cf89c,24,59,0.1422193278527947,0.15644372253129224,-0.014224394678497537
0x5e71d59168257fb5b2c1a8c3037c53084435afe6,17,140,-0.08136416608238757,0.0423511630409216,-0.12371532912330917
0x607c221d1fca1747501fe0b605991ed540fd8e7e,244,560,0.10813426680745615,0.007427024139113801,0.10070724266834236
0x702e2cd7a34372405f24534e25012a6da4284357,17,77,-0.3030084432492447,-0.5004438404286315,0.19743539717938685
0x73e780f4b97209e80f6b9e04e460591adf418b59,24,111,0.503604720795024,0.08186302123614612,0.4217416995588779
0x7b2007f18b374aa05c018f65ced5084daf6aeb02,12,50,0.5809324061311821,0.1492047973059545,0.43172760882522765
0x8383a695e82d69bff00d4032c7037b3eba01cb59,51,159,-0.1656890794405822,-0.01291515589948057,-0.15277392354110164
0x85d22a973e817f87afe0a7fd346a39823cce7479,33,150,0.7040067133186306,0.22999760946110132,0.4740091038575293
0x85dfe68799c81169482aad52aabd3d899404fb48,127,463,-0.8659840836235294,-0.2169530562031918,-0.6490310274203376
0x8a19890daccd81dc8eab48ea8a311d2a801e073d,15,55,0.48230313048838047,0.053411345645718374,0.4288917848426621
0x8cc1262cf53b83047926e09af8e5ab3bf537b9f8,82,116,-0.11351464878070071,-0.4077298550947347,0.294215206314034
0x919698b19427cbe6945b0dc823f2d9e126a4d934,75,327,-0.004453116040942417,-0.03384623104302638,0.029393115002083962
0x9a2626d1b61d20792e4db19fd492b8cf369fc335,23,33,-0.4617896917932341,0.2533067220000729,-0.715096413793307
0x9cb35555b913c805a62a2e34bce4ef14f0e81367,51,56,-0.163916507695313,-1.4531494276502523,1.2892329199549393
0x9cefe51ca5380e8d66d25f9463900581a4ff8fa3,54,101,-0.2088555438494199,0.0608700798011188,-0.2697256236505387
0xaa2873c371b71d36d31ea67be7e8be97c072090b,204,498,-0.3323393611942521,0.037520833434569516,-0.36986019462882164
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,58,190,-0.22636437394560469,-4.206713819189372,3.9803494452437675
0xb3476e21d2505bd523c3193f6feac01fda0aa115,22,31,-1.103205589443566,-2.4074803000078786,1.3042747105643127
0xb8fca82fafe3735faa7df168582c1e7d709088e1,104,75,0.33810047362021806,-0.06565642759099295,0.403756901211211
0xb95e3c95df098ed35ef27c23daf7b7e59eca8b12,26,66,0.11237381089389104,-0.2577469623569958,0.3701207732508868
0xbc4e46aa57fc149c046e847dfe5ae536db697dbb,72,128,0.42095474288805323,0.0692655565498953,0.35168918633815793
0xbd71233ab7a25bc420929cd67476219762f31281,36,151,0.2544955341183439,0.06674342510956957,0.18775210900877434
0xc327160887453b4e7e2e6c0964c854055c79d803,53,185,-0.4117731710749556,-0.07190290517952307,-0.3398702658954325
0xcaf59289145789242a4af6b975997344229841ab,81,100,0.09940347828208482,0.05167759935153332,0.047725878930551496
0xcdbc708656ef6aabe195eddd89d3cc89294cbd73,106,77,-0.10855793244479725,-0.3564250458757514,0.24786711343095416
0xcf006e28309313be21b36d22bde515882182353f,15,38,0.11395401105125011,-1.5284517506800315,1.6424057617312815
0xdaeb1eb83a0bfacabac7ee811805fa2b43c60d2f,162,555,0.07460738005401907,0.004547279663173529,0.07006010039084554
0xea5ea97ace089a67895dc11bb8aff9f30694a678,221,144,0.11190149386037494,-0.22173530784285644,0.3336368017032314
0xed541ad118dea9103306043869e83344cac44967,45,74,0.9708087571624509,0.23120216056390552,0.7396065965985453
0xf114b578bc08e5641d4cbfbb52e6e97b038d6ecc,20,141,0.7483371192295228,0.203856518858501,0.5444806003710219
0xf9712c6d06a0e6527ae7f85c9d540158e1a40a57,32,100,-1.374142595182034,0.18624674097796404,-1.560389336159998
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,60,13,0.19073518689087426,-0.40155701146643524,0.5922921983573095
