wallet,frac,threshold
0x37a46125cfa561a8b52c4a6ddd093a65bb4ca487,0.2,142.64093155795945
0x37a46125cfa561a8b52c4a6ddd093a65bb4ca487,0.5,70.59890624894777
0x37a46125cfa561a8b52c4a6ddd093a65bb4ca487,0.8,29.419394065677725
0x37a46125cfa561a8b52c4a6ddd093a65bb4ca487,1.0,2.049999
0x387fa87c9354d532a966b4ab058615fe433b158a,0.2,28.35
0x387fa87c9354d532a966b4ab058615fe433b158a,0.5,13.799999999999999
0x387fa87c9354d532a966b4ab058615fe433b158a,0.8,7.6467100000000015
0x387fa87c9354d532a966b4ab058615fe433b158a,1.0,5.2
0x3a5a19da3731d31c6cfa71449794f8f25b703427,0.2,67.2
0x3a5a19da3731d31c6cfa71449794f8f25b703427,0.5,61.949999999999996
0x3a5a19da3731d31c6cfa71449794f8f25b703427,0.8,34.2
0x3a5a19da3731d31c6cfa71449794f8f25b703427,1.0,24.750000000000004
0x444e1b2ccf56b63e6b54e1357df184843f3401d0,0.2,1241.2795564014446
0x444e1b2ccf56b63e6b54e1357df184843f3401d0,0.5,328.81178530200003
0x444e1b2ccf56b63e6b54e1357df184843f3401d0,0.8,230.6954
0x444e1b2ccf56b63e6b54e1357df184843f3401d0,1.0,230.6954
0x46164533c59b3c823ba87e0e485ab9a7afffa910,0.2,273.5604501986755
0x46164533c59b3c823ba87e0e485ab9a7afffa910,0.5,159.19838280000002
0x46164533c59b3c823ba87e0e485ab9a7afffa910,0.8,101.74916275
0x46164533c59b3c823ba87e0e485ab9a7afffa910,1.0,48.449999999999996
0x481d26886bb2c3f106ca59def5d063a17fbe48cf,0.2,772.7843657999999
0x481d26886bb2c3f106ca59def5d063a17fbe48cf,0.5,699.2354907959999
0x481d26886bb2c3f106ca59def5d063a17fbe48cf,0.8,289.87504
0x481d26886bb2c3f106ca59def5d063a17fbe48cf,1.0,8.2225
0x4bb254b64c93730e18c89759712f2b003647a656,0.2,1435.43016
0x4bb254b64c93730e18c89759712f2b003647a656,0.5,909.74105884
0x4bb254b64c93730e18c89759712f2b003647a656,0.8,452.28430896000003
0x4bb254b64c93730e18c89759712f2b003647a656,1.0,80.0
0x5235578efe24555b0c98e7dc10a902b09089c04a,0.2,10466.072791090006
0x5235578efe24555b0c98e7dc10a902b09089c04a,0.5,3290.53184878
0x5235578efe24555b0c98e7dc10a902b09089c04a,0.8,487.56472288
0x5235578efe24555b0c98e7dc10a902b09089c04a,1.0,50.440000000000005
0x534b8e148f001806512adb7d86d8f70254cfb321,0.2,2040.0
0x534b8e148f001806512adb7d86d8f70254cfb321,0.5,461.89110000000005
0x534b8e148f001806512adb7d86d8f70254cfb321,0.8,425.70701480999975
0x534b8e148f001806512adb7d86d8f70254cfb321,1.0,0.0
0x551e72eda42a5ab39d6d78239a1d9bbb5db6b0e0,0.2,5516.633499734513
0x551e72eda42a5ab39d6d78239a1d9bbb5db6b0e0,0.5,4581.473721982785
0x551e72eda42a5ab39d6d78239a1d9bbb5db6b0e0,0.8,4581.473721982785
0x551e72eda42a5ab39d6d78239a1d9bbb5db6b0e0,1.0,4294.943476460001
0x5739ddf8672627ce076eff5f444610a250075f1a,0.2,122370.3825071087
0x5739ddf8672627ce076eff5f444610a250075f1a,0.5,38366.32210703379
0x5739ddf8672627ce076eff5f444610a250075f1a,0.8,11381.9332996
0x5739ddf8672627ce076eff5f444610a250075f1a,1.0,47.38866692320505
0x57c50a744b729f6764fbb9fdc02ddce2e7d528e5,0.2,543.1447907410065
0x57c50a744b729f6764fbb9fdc02ddce2e7d528e5,0.5,183.93578339500002
0x57c50a744b729f6764fbb9fdc02ddce2e7d528e5,0.8,150.15
0x57c50a744b729f6764fbb9fdc02ddce2e7d528e5,1.0,95.709998
0x57c5de7efafb020e589f80e0da6e16e9b5c907aa,0.2,75507.34289571
0x57c5de7efafb020e589f80e0da6e16e9b5c907aa,0.5,15160.802998500003
0x57c5de7efafb020e589f80e0da6e16e9b5c907aa,0.8,1194.261827424
0x57c5de7efafb020e589f80e0da6e16e9b5c907aa,1.0,14.07
0x57cd8cad26e2d72dbfb25f2642a486cc374282ac,0.2,9013.905910349999
0x57cd8cad26e2d72dbfb25f2642a486cc374282ac,0.5,6476.4294312799975
0x57cd8cad26e2d72dbfb25f2642a486cc374282ac,0.8,609.4433
0x57cd8cad26e2d72dbfb25f2642a486cc374282ac,1.0,254.97599999999997
0x5afdc3662d84189688b789a00fe295a81c3b7e8d,0.2,9893.366461600006
