lead_bin,price_bin,n,mean_price,outcome_rate,brier,reliability_gap,lead_label
1,0,465795,0.007452751672675409,0.007844652690561298,0.007643939142329758,0.000391901017885889,"[0,6h)"
1,1,52391,0.06866004346368322,0.08268595751178638,0.0758431487582509,0.01402591404810316,"[0,6h)"
1,2,58001,0.14236519615883783,0.1719108291236358,0.14177862001625485,0.02954563296479798,"[0,6h)"
1,3,34270,0.2420659864906332,0.26965275751386053,0.1971365984561237,0.02758677102322732,"[0,6h)"
1,4,55112,0.39224850836228614,0.463256641021919,0.24851157808588298,0.07100813265963285,"[0,6h)"
1,5,52344,0.5948110688983679,0.6902987926027816,0.21819219156282807,0.09548772370441372,"[0,6h)"
1,6,70334,0.805440048379255,0.8703614183751813,0.11576988951976895,0.06492136999592635,"[0,6h)"
1,7,33249,0.9247023850194603,0.9544046437486842,0.044468991378543356,0.02970225872922383,"[0,6h)"
1,8,480333,0.9943224876753601,0.9965836201135462,0.0033757628308839827,0.002261132438186042,"[0,6h)"
2,0,840595,0.01297672285484471,0.011929645072835313,0.011655124961193433,-0.001047077782009397,"[6,12h)"
2,1,232513,0.06886039001887437,0.05985471780072512,0.05628247944644093,-0.009005672218149248,"[6,12h)"
2,2,257474,0.14242564611875783,0.12920139509232,0.11181211902478144,-0.013224251026437817,"[6,12h)"
2,3,151011,0.24192452669350903,0.23443325320672004,0.17879601945195386,-0.007491273486788991,"[6,12h)"
2,4,238651,0.38948531948751763,0.3925020217807593,0.2338654986267953,0.003016702293241691,"[6,12h)"
2,5,212787,0.5963651223203463,0.6408850164718709,0.2276350885922885,0.044519894151524575,"[6,12h)"
2,6,281591,0.80659122863278,0.8461207922128193,0.12901206293889553,0.03952956358003934,"[6,12h)"
2,7,131368,0.9244058069054172,0.9455575178125571,0.05189357585794892,0.021151710907139964,"[6,12h)"
2,8,762602,0.9891397440456887,0.9925006753194983,0.00738206240129454,0.003360931273809542,"[6,12h)"
3,0,725480,0.012848131008723574,0.019389921155648675,0.01875909401091854,0.006541790146925101,"[12,24h)"
3,1,203199,0.07000416462831943,0.08357816721538984,0.0765622426525966,0.013574002587070408,"[12,24h)"
3,2,267978,0.1443310150463441,0.1652672980617812,0.13751863396922703,0.020936283015437096,"[12,24h)"
3,3,189794,0.24408860644655125,0.25731055776262685,0.19057514743248688,0.013221951316075592,"[12,24h)"
3,4,333131,0.3931886833195311,0.39557411348688654,0.2358760944957634,0.002385430167355429,"[12,24h)"
3,5,386473,0.6003618021178069,0.6058223989774189,0.2352575048996889,0.005460596859611977,"[12,24h)"
3,6,460723,0.7996267475243811,0.8011863961642897,0.15604099383325812,0.0015596486399085396,"[12,24h)"
3,7,159362,0.923602316918053,0.9284459281384521,0.06631820838714458,0.004843611220399113,"[12,24h)"
3,8,698013,0.988108116703372,0.9860905169387962,0.013498235463867256,-0.002017599764575717,"[12,24h)"
4,0,574494,0.011607887644126845,0.015293458243254064,0.014855901021821563,0.003685570599127219,"[1,2d)"
4,1,142227,0.07024848948611202,0.07662398841288925,0.07060818503577902,0.006375498926777232,"[1,2d)"
4,2,203096,0.14466636225935442,0.1631100563280419,0.13596521656323868,0.018443694068687483,"[1,2d)"
4,3,161109,0.24486603466800405,0.2678993724745359,0.1958254341674511,0.02303333780653183,"[1,2d)"
4,4,206408,0.38076532992282824,0.41009553893259953,0.24066571550369611,0.02933020900977129,"[1,2d)"
4,5,295210,0.6113125710905593,0.5970224585888012,0.23694711128620893,-0.014290112501758045,"[1,2d)"
4,6,416155,0.7987266240345935,0.798985954752436,0.15726012863628872,0.0002593307178424542,"[1,2d)"
4,7,140722,0.9232557731814193,0.9297338013956595,0.06522102562356918,0.006478028214240261,"[1,2d)"
4,8,580597,0.9875206823804822,0.986674061354089,0.012990687464046526,-0.0008466210263932128,"[1,2d)"
5,0,149578,0.012914807563070141,0.019668667852224257,0.01906219837640699,0.006753860289154116,"[2,3d)"
5,1,42420,0.06954755110901299,0.09752475247524753,0.08845840567852965,0.027977201366234536,"[2,3d)"
5,2,62345,0.14543497172158623,0.19566925976421526,0.15878288370855914,0.05023428804262903,"[2,3d)"
5,3,55347,0.24585420398940966,0.29089200860028547,0.2073354811158435,0.04503780461087581,"[2,3d)"
